ID,5S.cov
C508.TCGA-77-8153-01A-11D-2395-08.1,7.12997
C508.TCGA-85-8070-01A-11D-2244-08.1,11.2255
C508.TCGA-85-8582-01A-21D-2395-08.1,10.8806
C508.TCGA-85-A4CN-01A-11D-A24D-08.1,5.78294
C508.TCGA-94-A4VJ-01A-11D-A257-08.1,20.5937
C508.TCGA-98-8023-01A-11D-2244-08.1,8.2458
C508.TCGA-LA-A7SW-01A-11D-A401-08.1,12.1317
C508.TCGA-LUSC-2703-TP-11D-2042-08.5,7.68391
C508.TCGA-LUSC-4609-TP-21D-2122-08.3,14.4947
C508.TCGA-LUSC-6867-TP-11D-2042-08.10,9.46552
C508.TCGA-LUSC-7696-TP-11D-2122-08.4,9.12511
C508.TCGA-LUSC-7710-TP-11D-2122-08.3,7.73386
C508.TCGA-LUSC-7809-TP-21D-2122-08.3,8.26083
C508.TCGA-LUSC-7964-TP-21D-2184-08.2,26.8466
C508.TCGA-NC-A5HE-01A-11D-A26M-08.3,15.4828
C508.TCGA-NC-A5HN-01A-11D-A26M-08.3,14.1123
C508.TCGA-NK-A5D1-01A-11D-A26M-08.5,14.1883
C509.TCGA-05-5423-01A-01D-1625-08.1,12.2737
C509.TCGA-44-5643-01A-01D-1625-08.1,4.29134
C509.TCGA-44-6778-01A-11D-1855-08.2,11.4125
C509.TCGA-44-7667-01A-31D-2063-08.1,10.8453
C509.TCGA-44-7669-01A-21D-2063-08.3,3.64766
C509.TCGA-44-A4SS-01A-11D-A24P-08.3,16.5676
C509.TCGA-49-4487-01A-21D-1855-08.2,7.08665
C509.TCGA-53-7624-01A-11D-2063-08.1,9.99558
C509.TCGA-55-6968-01A-11D-1945-08.3,15.8245
C509.TCGA-55-6978-01A-11D-1945-08.3,8.12909
C509.TCGA-55-7994-01A-11D-2184-08.1,14.2109
C509.TCGA-55-8085-01A-11D-2238-08.1,27.5062
C509.TCGA-55-8090-01A-11D-2238-08.1,26.8117
C509.TCGA-55-8299-01A-11D-2284-08.5,19.8744
C509.TCGA-62-8395-01A-11D-2323-08.6,6.81388
C509.TCGA-69-7973-01A-11D-2184-08.1,10.2396
C509.TCGA-78-7155-01A-11D-2036-08.1,4.01105
C509.TCGA-80-5608-01A-31D-1945-08.5,105.483
C509.TCGA-86-7711-01A-11D-2063-08.1,16.4655
C509.TCGA-86-8672-01A-21D-2393-08.2,14.4819
