ID,n.reads
ddd400df-3376-447a-859b-7415a679eb46_gdc_realn_rehead,72223232
de24d8b4-3113-480a-84bd-86d8f39560cf_gdc_realn_rehead,167072143
e0990992-6012-41ef-9db2-e0090973f822_gdc_realn_rehead,107547653
e702f15d-8cd6-47ff-8b15-17acb7409821_gdc_realn_rehead,152868815
e9ba1277-0d5b-413a-b30b-ed5df883f036_gdc_realn_rehead,89679355
ebf6d5b9-6359-46d9-9e73-066a15b5f903_gdc_realn_rehead,204630328
ed5e8d92-a12a-4da5-8433-6016e8ce1f5f_gdc_realn_rehead,153244088
ee435154-da66-4069-a685-56b7f3763d70_gdc_realn_rehead,204409773
f0230c35-06f0-4ef2-ad92-cdead9cd3612_gdc_realn_rehead,101826345
f4f6d8c0-a78d-4ee1-93e1-48a8c9d23cb4_gdc_realn_rehead,161673710
f7139559-98fb-40a9-b53a-fbd6eff91646_gdc_realn_rehead,123127294
f7e760b7-9e86-4d22-b257-c0d4d6f0e439_gdc_realn_rehead,196170009
fa7246ef-c9ef-4494-9a5c-31b6eb90e802_gdc_realn_rehead,96202237
fb76cae1-8b63-4459-9c06-597dfd080a66_gdc_realn_rehead,207415954
fd89981a-e0ad-425b-a456-60edba4bd7a5_gdc_realn_rehead,100254194
feb08cb8-99b7-4527-baa7-2f37b9559d06_gdc_realn_rehead,107993933
TCGA-A8-A095-01A-11W-A019-09_IlluminaGA-DNASeq_exome,299157772
TCGA-AN-A0AT-01A-11D-A045-09_IlluminaGA-DNASeq_exome,190332622
TCGA-AR-A1AK-01A-21D-A12Q-09_IlluminaGA-DNASeq_exome,190162422
TCGA-B6-A0I8-01A-11W-A050-09_IlluminaGA-DNASeq_exome_1,159936548
TCGA-BH-A0DV-01A-21D-A12Q-09_IlluminaGA-DNASeq_exome,156119080
TCGA-C8-A1HM-01A-12D-A135-09_IlluminaGA-DNASeq_exome_1,216598934
TCGA-E2-A15J-01A-11D-A12Q-09_IlluminaGA-DNASeq_exome,197781950
TCGA-E2-A15R-01A-11D-A10Y-09_IlluminaGA-DNASeq_exome,169365138
TCGA-E2-A1B4-01A-11D-A12Q-09_IlluminaGA-DNASeq_exome,183885772
