ID,cov.rDNA,cov.5S
c4b527da-7ddc-4bea-a3f0-45379f159c59_gdc_realn_rehead.rDNA.pileup.gz,13.6375,0.147302
c4c56341-9436-4ebe-a008-f822256db2d6_gdc_realn_rehead.rDNA.pileup.gz,9.58109,0.103628
C508.TCGA-21-1082-01A-01D-1521-08.3.rDNA.pileup.gz,107.218,0.0117674
C508.TCGA-21-5782-01A-01D-1632-08.1.rDNA.pileup.gz,44.8499,0.015093
C508.TCGA-22-5471-01A-01D-1632-08.1.rDNA.pileup.gz,39.6219,0.0117674
C508.TCGA-22-5474-01A-01D-1632-08.1.rDNA.pileup.gz,72.8293,0.026814
C508.TCGA-22-5480-01A-01D-1632-08.1.rDNA.pileup.gz,38.7325,0.0124186
C508.TCGA-22-5492-01A-01D-1632-08.1.rDNA.pileup.gz,45.9117,0.0129767
C508.TCGA-33-6738-01A-11D-1945-08.5.rDNA.pileup.gz,52.8217,0.0129535
C508.TCGA-33-A5GW-01A-11D-A27K-08.3.rDNA.pileup.gz,27.5246,0.0390233
C508.TCGA-33-AASJ-01A-11D-A401-08.1.rDNA.pileup.gz,62.4091,0.0287442
C508.TCGA-33-AASL-01A-11D-A401-08.1.rDNA.pileup.gz,74.3853,0.00909302
C508.TCGA-34-2600-01A-01D-1522-08.5.rDNA.pileup.gz,129.061,0.0244186
C508.TCGA-34-2608-01A-02D-1522-08.5.rDNA.pileup.gz,91.4404,0.0154186
C508.TCGA-34-5236-01A-21D-1817-08.2.rDNA.pileup.gz,50.8875,0.0239535
C508.TCGA-34-5239-01A-21D-1817-08.2.rDNA.pileup.gz,40.1375,0.0114419
C508.TCGA-34-5928-01A-11D-1817-08.2.rDNA.pileup.gz,40.0327,0.028907
C508.TCGA-34-8454-01A-11D-2323-08.2.rDNA.pileup.gz,40.2778,0.00995349
C508.TCGA-34-A5IX-01A-12D-A27K-08.3.rDNA.pileup.gz,52.8956,0.023093
C508.TCGA-39-5019-01A-01D-1817-08.2.rDNA.pileup.gz,37.0578,0.0256744
C508.TCGA-43-2578-01A-01D-1522-08.5.rDNA.pileup.gz,218.151,0.0224651
C508.TCGA-43-6771-01A-11D-1817-08.2.rDNA.pileup.gz,71.5206,0.0164186
C508.TCGA-43-A474-01A-11D-A24D-08.1.rDNA.pileup.gz,32.8844,0.0199535
C508.TCGA-51-4079-01A-01D-1458-08.6.rDNA.pileup.gz,250.782,0.728419
C508.TCGA-56-8304-01A-11D-2323-08.5.rDNA.pileup.gz,52.6711,0.0119535
C508.TCGA-56-8308-01A-11D-2293-08.2.rDNA.pileup.gz,61.4722,0.0174651
C508.TCGA-56-8623-01A-11D-2395-08.1.rDNA.pileup.gz,74.634,0.014186
C508.TCGA-56-8626-01A-11D-2395-08.2.rDNA.pileup.gz,57.6797,0.0117442
C508.TCGA-56-A5DR-01A-11D-A27K-08.3.rDNA.pileup.gz,55.3799,0.0234884
C508.TCGA-60-2713-01A-01D-1522-08.5.rDNA.pileup.gz,107.785,0.0177209
C508.TCGA-63-A5MB-01A-11D-A26M-08.3.rDNA.pileup.gz,59.0569,0.127302
C508.TCGA-66-2780-01A-01D-1522-08.5.rDNA.pileup.gz,91.3889,0.0104651
C508.TCGA-77-8145-01A-11D-2244-08.1.rDNA.pileup.gz,146.181,0.292977
C508.TCGA-77-8153-01A-11D-2395-08.1.rDNA.pileup.gz,54.414,0.0175814
C508.TCGA-85-8070-01A-11D-2244-08.1.rDNA.pileup.gz,33.6765,0.0249535
C508.TCGA-85-8582-01A-21D-2395-08.1.rDNA.pileup.gz,83.0439,0.0222558
C508.TCGA-85-A4CN-01A-11D-A24D-08.1.rDNA.pileup.gz,48.2988,0.0120233
C508.TCGA-94-A4VJ-01A-11D-A257-08.1.rDNA.pileup.gz,50.3172,0.0319767
C508.TCGA-98-8023-01A-11D-2244-08.1.rDNA.pileup.gz,100.132,0.0142326
C508.TCGA-LA-A7SW-01A-11D-A401-08.1.rDNA.pileup.gz,70.4498,0.0245814
C508.TCGA-LUSC-2703-TP-11D-2042-08.5.rDNA.pileup.gz,45.2245,0.0179767
C508.TCGA-LUSC-4609-TP-21D-2122-08.3.rDNA.pileup.gz,53.2693,0.0277209
C508.TCGA-LUSC-6867-TP-11D-2042-08.10.rDNA.pileup.gz,25.7634,0.0147209
C508.TCGA-LUSC-7696-TP-11D-2122-08.4.rDNA.pileup.gz,28.5847,0.0170465
C508.TCGA-LUSC-7710-TP-11D-2122-08.3.rDNA.pileup.gz,41.2379,0.010093
C508.TCGA-LUSC-7809-TP-21D-2122-08.3.rDNA.pileup.gz,72.3387,0.0166047
C508.TCGA-LUSC-7964-TP-21D-2184-08.2.rDNA.pileup.gz,64.9565,0.049814
C508.TCGA-NC-A5HE-01A-11D-A26M-08.3.rDNA.pileup.gz,35.2142,0.0338837
C508.TCGA-NC-A5HN-01A-11D-A26M-08.3.rDNA.pileup.gz,25.47,0.0199302
C508.TCGA-NK-A5D1-01A-11D-A26M-08.5.rDNA.pileup.gz,16.7796,0.0256744
C509.TCGA-05-5423-01A-01D-1625-08.1.rDNA.pileup.gz,35.9391,0.0279302
C509.TCGA-44-5643-01A-01D-1625-08.1.rDNA.pileup.gz,65.2679,0.00616279
C509.TCGA-44-6778-01A-11D-1855-08.2.rDNA.pileup.gz,57.9373,0.0239767
C509.TCGA-44-7667-01A-31D-2063-08.1.rDNA.pileup.gz,55.0439,0.0176744
C509.TCGA-44-7669-01A-21D-2063-08.3.rDNA.pileup.gz,53.6317,0.00451163
C509.TCGA-44-A4SS-01A-11D-A24P-08.3.rDNA.pileup.gz,49.5703,0.0356744
C509.TCGA-49-4487-01A-21D-1855-08.2.rDNA.pileup.gz,55.866,0.010093
C509.TCGA-53-7624-01A-11D-2063-08.1.rDNA.pileup.gz,34.0179,0.0195349
C509.TCGA-55-6968-01A-11D-1945-08.3.rDNA.pileup.gz,34.2388,0.0282558
C509.TCGA-55-6978-01A-11D-1945-08.3.rDNA.pileup.gz,48.177,0.0144651
C509.TCGA-55-7994-01A-11D-2184-08.1.rDNA.pileup.gz,43.1591,0.0152093
C509.TCGA-55-8085-01A-11D-2238-08.1.rDNA.pileup.gz,78.4897,0.0379767
C509.TCGA-55-8090-01A-11D-2238-08.1.rDNA.pileup.gz,86.7823,0.044186
C509.TCGA-55-8299-01A-11D-2284-08.5.rDNA.pileup.gz,83.849,0.0362326
C509.TCGA-62-8395-01A-11D-2323-08.6.rDNA.pileup.gz,73.6434,0.009
C509.TCGA-69-7973-01A-11D-2184-08.1.rDNA.pileup.gz,90.9892,0.0177674
C509.TCGA-78-7155-01A-11D-2036-08.1.rDNA.pileup.gz,12.6026,0.010907
C509.TCGA-80-5608-01A-31D-1945-08.5.rDNA.pileup.gz,212.88,0.21814
C509.TCGA-86-7711-01A-11D-2063-08.1.rDNA.pileup.gz,44.7885,0.035
C509.TCGA-86-8672-01A-21D-2393-08.2.rDNA.pileup.gz,46.9848,0.0197907
C509.TCGA-86-A456-01A-11D-A24D-08.2.rDNA.pileup.gz,38.0869,0.00539535
C509.TCGA-91-A4BD-01A-11D-A24D-08.1.rDNA.pileup.gz,62.8481,0.0339302
C509.TCGA-95-7039-01A-11D-1945-08.3.rDNA.pileup.gz,8.84364,0.0130698
C509.TCGA-95-7947-01A-11D-2184-08.1.rDNA.pileup.gz,52.8293,0.0171163
