ID,nIGH2,nIGK2,nIGL2,nTCRA2,nTCRB2,nTCRD2,nTCRG2,loadIGH2,loadIGK2,loadIGL2,loadTCRA2,loadTCRB2,loadTCRD2,loadTCRG2,alphaIGH2,alphaIGK2,alphaIGL2,alphaTCRA2,alphaTCRB2,alphaTCRD2,alphaTCRG2
9aaecc75-33ae-42e7-8cc9-806afd9f067a_gdc_realn_rehead,753,772,485,780,11,10,0,50555,40711,43171,62901,86,172,0,4.44328936516,4.33268199852,3.65778483621,1.63411567874,1.95972473834,1.49933772968,0
9ca830f3-ac0a-49a9-892d-878b1d593743_gdc_realn_rehead,13,127,66,49,3,0,0,112,1350,440,274,9,0,0,1.58051602146,3.34879960585,3.01595776637,2.89510267136,1.06085694716,0,0
9fd2752a-dc0e-4ac4-9149-39206980cba9_gdc_realn_rehead,1,9,3,30,0,0,0,8,22,8,106,0,0,0,-0.0,2.16128711958,1.03972077084,2.97688768657,0,0,0
a139f37f-a62c-4722-9dc7-a15df478d791_gdc_realn_rehead,6,71,21,28,1,0,0,26,708,328,146,17,0,0,1.71408061591,2.92177295695,1.99868605042,2.83106619378,-0.0,0,0
a3736f9a-6f21-4b60-82c9-fef598683885_gdc_realn_rehead,50,798,217,168,2,5,0,237,3873,1028,690,5,18,0,3.52425035555,6.3027593375,5.00213157998,4.76039618052,0.673011667009,1.48842875367,0
a4c45d2b-9067-4218-8428-1b7be3977ee1_gdc_realn_rehead,3,88,38,37,1,1,0,25,488,252,226,2,15,0,0.784167586764,3.97652794216,3.02734084028,3.09441587466,-0.0,-0.0,0
a50cdac5-77de-4120-bf4e-fa45415e389d_gdc_realn_rehead,2,19,6,8,0,0,0,7,47,14,59,0,0,0,0.598269588585,2.81722409733,1.74786809747,1.35514972381,0,0,0
aa44b29e-8a79-43ae-b8c4-8b7ffa8e07cc_gdc_realn_rehead,0,7,2,4,0,0,0,0,19,4,12,0,0,0,0,1.91330365675,0.69314718056,1.30860538725,0,0,0
abe71233-5615-42a4-b2fd-8988f22c3ac9_gdc_realn_rehead,1,21,7,20,0,0,0,2,100,17,69,0,0,0,-0.0,2.62596773845,1.90542004311,2.60297891619,0,0,0
ac92ae82-c416-4812-93e1-9f3def081381_gdc_realn_rehead,426,1175,347,605,15,10,1,7204,27607,7212,5433,217,212,2,4.77841701625,5.54931803569,4.61157958458,4.44202613146,1.72934417576,1.09736201469,-0.0
b0363f34-ad46-42b2-be94-eec3be39160b_gdc_realn_rehead,16,218,56,66,2,0,0,57,690,170,223,6,0,0,2.51267384414,5.17675099679,3.91549078429,3.96511499426,0.636514168295,0,0
b04cbefe-48d2-40ca-9230-18566adbe9ee_gdc_realn_rehead,32,435,137,74,3,0,0,201,5159,1104,689,6,0,0,3.15771959412,5.10957729413,4.23494524504,3.18513993288,1.09861228867,0,0
b62181ac-22b7-452d-8055-313a8fd9b740_gdc_realn_rehead,0,35,14,22,0,0,0,0,1255,216,147,0,0,0,0,2.48815372168,1.70526803851,2.46773446211,0,0,0
bd151a41-d4db-4044-9e5d-6c7df9282353_gdc_realn_rehead,2595,2610,1254,1319,28,25,1,68469,93219,43393,88026,295,1001,1,6.4070631137,6.50903156794,5.58638979793,2.05879836557,2.47136650669,0.956645160866,-0.0
c292261b-d8e9-4245-936a-884d0c5f2544_gdc_realn_rehead,98,1215,458,390,1,16,1,463,14863,4333,6110,2,72,3,4.22325518675,5.92175532969,5.10941928993,2.73121682352,-0.0,2.29012172052,-0.0
c4b527da-7ddc-4bea-a3f0-45379f159c59_gdc_realn_rehead,10,194,55,45,1,0,0,27,742,213,198,2,0,0,2.21827106903,4.9778529874,3.7148366664,3.15485488074,-0.0,0,0
c4c56341-9436-4ebe-a008-f822256db2d6_gdc_realn_rehead,111,945,570,240,13,8,0,3099,24393,17063,5629,61,59,0,3.13049680445,4.72749878532,3.46335819403,2.99184066297,2.21118599539,1.63664854189,0
c79fd4ee-51a2-4566-b6fd-7c883e5f09d6_gdc_realn_rehead,0,4,0,17,1,0,0,0,9,0,56,2,0,0,0,1.36892236074,0,2.54901759259,-0.0,0,0
c92b3b05-9cdf-4dba-8f8e-e12e82b8e9ec_gdc_realn_rehead,940,1476,433,1304,29,23,0,8273,15584,3982,14743,167,99,0,6.23614516086,6.51985770466,5.58385234048,3.80571790216,2.93660415431,2.82551757974,0
ca70f952-1943-4b89-94fc-3795b5cf29a7_gdc_realn_rehead,105,1044,446,265,3,12,0,675,9287,2966,1149,10,51,0,3.57909577672,5.60888408614,5.22165931398,5.12151279871,0.950270539233,2.2006666443,0
cb41fa4c-8c27-49b2-8070-593c6edccfc6_gdc_realn_rehead,0,6,1,8,0,1,0,0,17,2,39,0,2,0,0,1.72746355714,-0.0,1.95017951947,0,-0.0,0
cc68e6a2-0865-4656-80fb-2594a64ffba9_gdc_realn_rehead,7,146,68,39,0,0,0,22,1061,309,142,0,0,0,1.87081809246,4.20073912422,3.8354431984,3.50925302572,0,0,0
cd0e8e79-5897-426d-803e-a6c3f1bbdfda_gdc_realn_rehead,11,103,34,39,0,0,0,224,2046,593,319,0,0,0,1.84472097722,2.4182271919,2.44178680585,2.651653793,0,0,0
cdceb01f-0ea0-46a3-a1da-9bd84479235c_gdc_realn_rehead,20,247,112,31,2,1,1,218,6430,1668,485,5,3,2,2.37473744701,3.50402793735,3.44555514885,2.1868430098,0.673011667009,-0.0,-0.0
d1731e80-53bc-4225-9097-8d7e32aa173a_gdc_realn_rehead,3,78,24,18,0,0,0,11,267,99,60,0,0,0,0.907535294105,4.17015060305,2.77585303183,2.66322490612,0,0,0
d1986fd8-b966-4ace-ab1a-581a18ecbdbe_gdc_realn_rehead,196,1460,620,439,1,9,0,1397,17046,5833,22401,2,35,0,4.59268425784,6.06683786844,5.44258897158,1.34196044557,-0.0,1.74352335231,0
d1ada222-b67f-47c0-b380-091eaab093b4_gdc_realn_rehead,4,126,32,44,2,1,0,24,370,96,116,5,2,0,1.13290158905,4.65463941557,3.25857633886,3.68379628287,0.673011667009,-0.0,0
d4f41f6d-7353-462d-ab1e-61adac431d8b_gdc_realn_rehead,1,18,7,13,1,0,0,2,54,26,43,3,0,0,-0.0,2.74736418708,1.8381812081,2.32452739283,-0.0,0,0
dbaa4e7f-79fc-43ed-8258-f1f50110495d_gdc_realn_rehead,1,11,4,22,1,0,0,3,45,13,827,2,0,0,-0.0,2.15760912488,1.33224492244,0.423018336844,-0.0,0,0
dcc908fd-afb3-48a7-9f48-d98355d50030_gdc_realn_rehead,0,11,3,12,0,0,0,0,30,9,64,0,0,0,0,2.32152693552,1.06085694716,1.65689861931,0,0,0
ddd400df-3376-447a-859b-7415a679eb46_gdc_realn_rehead,63,649,243,144,3,8,0,278,4384,1216,732,6,30,0,3.69877530941,5.82642983309,4.87327500975,4.44740749041,1.09861228867,1.8707554176,0
