ID,nIGH,nIGK,nIGL,nTCRA,nTCRB,nTCRD,nTCRG,loadIGH,loadIGK,loadIGL,loadTCRA,loadTCRB,loadTCRD,loadTCRG,alphaIGH,alphaIGK,alphaIGL,alphaTCRA,alphaTCRB,alphaTCRD,alphaTCRG
C509.TCGA-MP-A4TJ-01A-51D-A25L-08.2,0,1,0,9,5,0,1,0,2,0,35,56,0,2,0,-0.0,0,1.8499458901,1.31712439698,0,-0.0
C529.TCGA-CH-5750-01A-11D-1576-08.4,0,0,0,13,3,0,0,0,0,0,94,121,0,0,0,0,0,1.85021921551,1.08374160624,0,0
C529.TCGA-CH-5792-01A-11D-1576-08.8,0,0,0,13,5,1,0,0,0,0,61,61,3,0,0,0,0,2.08858051529,1.27731958027,-0.0,0
C529.TCGA-EJ-5508-01A-02D-1576-08.4,0,0,0,10,4,1,0,0,0,0,52,89,3,0,0,0,0,1.90911109662,1.16955215932,-0.0,0
C529.TCGA-EJ-5517-01A-01D-1576-08.4,0,0,0,10,5,1,0,0,0,0,79,99,2,0,0,0,0,1.52972491813,1.18869845189,-0.0,0
C529.TCGA-EJ-5518-01A-01D-1576-08.8,0,0,0,6,5,1,0,0,0,0,45,74,4,0,0,0,0,1.18963141557,1.2412963054,-0.0,0
C529.TCGA-EJ-5530-01A-01D-1576-08.9,0,0,0,11,4,0,0,0,0,0,69,71,0,0,0,0,0,1.85447141227,1.15596131812,0,0
C529.TCGA-EJ-7312-01B-21D-A32B-08.4,0,0,0,20,4,1,0,0,0,0,90,74,2,0,0,0,0,2.51686653084,1.1859656499,-0.0,0
C529.TCGA-EJ-7315-01A-31D-2114-08.1,0,1,0,7,3,0,0,0,2,0,47,54,0,0,0,-0.0,0,1.42803517991,1.08549675324,0,0
C529.TCGA-EJ-7331-01A-11D-2114-08.1,0,0,0,11,3,0,0,0,0,0,85,62,0,0,0,0,0,1.36031132121,1.09835070996,0,0
C529.TCGA-EJ-7788-01A-11D-2114-08.1,0,0,0,6,5,0,0,0,0,0,44,58,0,0,0,0,0,1.12923218943,1.35061786576,0,0
C529.TCGA-EJ-8470-01A-11D-2395-08.2,0,0,0,9,5,0,0,0,0,0,59,66,0,0,0,0,0,1.1483516835,1.27590240983,0,0
C529.TCGA-G9-6347-01A-11D-A31L-08.3,0,1,0,4,3,0,0,0,2,0,29,52,0,0,0,-0.0,0,0.875822127955,1.08194895469,0,0
C529.TCGA-G9-6361-01A-21D-1961-08.2,0,0,0,7,3,0,0,0,0,0,49,73,0,0,0,0,0,1.37936681549,1.06118733064,0,0
C529.TCGA-HC-7080-01A-11D-1961-08.2,0,0,0,10,3,0,0,0,0,0,53,80,0,0,0,0,0,1.69826853942,1.0883789912,0,0
C529.TCGA-HC-7211-01A-11D-2114-08.2,0,0,0,3,4,0,0,0,0,0,32,77,0,0,0,0,0,0.538556946261,1.17583025906,0,0
C529.TCGA-HC-7740-01A-11D-2114-08.1,0,0,0,4,3,0,0,0,0,0,36,81,0,0,0,0,0,0.811091892164,1.0820131534,0,0
C529.TCGA-HC-7744-01A-11D-2114-08.1,0,0,0,21,4,0,0,0,0,0,72,62,0,0,0,0,0,2.48964134781,1.18204968438,0,0
C529.TCGA-HC-7748-01A-11D-2114-08.2,0,0,0,10,5,0,0,0,0,0,54,80,0,0,0,0,0,1.7425305781,1.33943525293,0,0
C529.TCGA-HC-A632-01A-11D-A29Q-08.2,0,1,0,8,4,0,0,0,2,0,40,59,0,0,0,-0.0,0,1.6103331657,1.18604738122,0,0
C529.TCGA-HC-A6AQ-01A-11D-A30E-08.1,0,0,0,6,3,0,0,0,0,0,27,35,0,0,0,0,0,1.42401576892,1.0492146546,0,0
C529.TCGA-HC-A76X-01A-11D-A33T-08.1,0,0,0,1,4,0,0,0,0,0,11,30,0,0,0,0,0,-0.0,1.1960204572,0,0
C529.TCGA-J4-A83I-01A-11D-A364-08.1,0,0,0,3,3,0,0,0,0,0,15,32,0,0,0,0,0,0.764754419567,1.07958834089,0,0
C529.TCGA-J4-A83N-01A-11D-A34U-08.1,0,0,0,2,3,0,0,0,0,0,8,28,0,0,0,0,0,0.661563238158,1.01902546115,0,0
C529.TCGA-J9-A52C-01A-11D-A26M-08.4,0,0,0,3,4,0,0,0,0,0,22,46,0,0,0,0,0,0.60016607316,1.25286422361,0,0
C529.TCGA-KK-A59X-01A-11D-A29Q-08.2,0,0,0,5,3,0,0,0,0,0,44,67,0,0,0,0,0,1.13006227279,1.06279729666,0,0
C529.TCGA-KK-A6E0-01A-11D-A30X-08.1,0,0,1,4,3,0,0,0,0,2,22,38,0,0,0,0,-0.0,0.885574151577,1.070024955,0,0
C529.TCGA-KK-A7AQ-01A-11D-A33T-08.1,0,0,0,4,3,0,0,0,0,0,25,40,0,0,0,0,0,1.03532669577,1.09026936332,0,0
C529.TCGA-KK-A7B2-01A-12D-A32B-08.2,0,0,0,4,3,0,0,0,0,0,32,42,0,0,0,0,0,0.892496039113,1.01969811422,0,0
C529.TCGA-KK-A8I4-01A-11D-A364-08.1,0,0,0,3,3,0,0,0,0,0,12,41,0,0,0,0,0,0.959614793912,1.0260973188,0,0
C529.TCGA-KK-A8I6-01A-11D-A364-08.1,0,0,0,4,3,0,0,0,0,0,14,36,0,0,0,0,0,1.35178399429,1.08930967896,0,0
C529.TCGA-KK-A8IA-01A-11D-A364-08.2,0,0,0,2,3,0,0,0,0,0,11,43,0,0,0,0,0,0.474139313058,1.09807550533,0,0
C529.TCGA-KK-A8IH-01A-11D-A364-08.1,0,0,0,3,3,0,0,0,0,0,13,36,0,0,0,0,0,0.983961446001,0.967077978206,0,0
C529.TCGA-KK-A8II-01A-11D-A364-08.1,0,0,0,4,3,0,0,0,0,0,23,30,0,0,0,0,0,0.860559001481,0.944688973406,0,0
C529.TCGA-V1-A8MM-01A-11D-A377-08.1,0,0,0,5,3,0,0,0,0,0,25,37,0,0,0,0,0,1.20588328309,1.07675254814,0,0
C529.TCGA-V1-A8WS-01A-11D-A377-08.3,0,0,0,6,3,0,0,0,0,0,22,39,0,0,0,0,0,1.49023053012,1.03292407433,0,0
C529.TCGA-V1-A8WW-01A-11D-A377-08.1,0,0,0,2,3,0,0,0,0,0,9,56,0,0,0,0,0,0.529706199058,1.04264278728,0,0
C529.TCGA-VN-A88R-01A-11D-A364-08.1,0,0,0,3,3,0,0,0,0,0,20,23,0,0,0,0,0,0.730588061371,1.02429605164,0,0
C529.TCGA-VP-A876-01A-11D-A34U-08.2,0,0,0,2,4,0,0,0,0,0,15,31,0,0,0,0,0,0.392674467228,1.2590025069,0,0
C529.TCGA-VP-A879-01A-11D-A34U-08.1,0,0,0,2,4,0,0,0,0,0,18,52,0,0,0,0,0,0.450561208866,1.2119732488,0,0
C529.TCGA-XK-AAJU-01A-11D-A41K-08.2,0,0,0,3,3,0,0,0,0,0,11,41,0,0,0,0,0,0.907535294105,0.965137833065,0,0
C529.TCGA-YL-A8S9-01A-11D-A377-08.1,0,0,0,4,4,0,0,0,0,0,20,51,0,0,0,0,0,1.02509391179,1.20212228405,0,0
C529.TCGA-YL-A8SB-01A-31D-A377-08.1,0,0,0,2,3,0,0,0,0,0,13,49,0,0,0,0,0,0.666278442415,1.03866424072,0,0
C529.TCGA-YL-A9WI-01A-11D-A377-08.1,0,0,0,4,3,0,0,0,0,0,18,34,0,0,0,0,0,1.25899102886,0.996045930246,0,0
C662.TCGA-44-6146-01A-21D-A27T-08.2,0,0,0,3,4,0,0,0,0,0,17,59,0,0,0,0,0,0.873900414269,1.16426866019,0,0
C662.TCGA-44-6147-01A-21D-A27T-08.2,0,1,0,13,3,1,0,0,4,0,73,63,2,0,0,-0.0,0,1.77565222898,1.04038245907,-0.0,0
C662.TCGA-44-6148-01A-11D-1753-08.4,0,0,0,4,4,0,0,0,0,0,23,35,0,0,0,0,0,0.860559001481,1.17253153044,0,0
C662.TCGA-50-5931-01A-11D-1753-08.4,0,0,0,3,3,0,0,0,0,0,17,20,0,0,0,0,0,0.708688028219,1.03972077084,0,0
C662.TCGA-50-5946-01A-11D-1753-08.4,0,0,0,8,4,0,0,0,0,0,43,46,0,0,0,0,0,1.37722939663,1.10265994524,0,0
C662.TCGA-50-6592-01A-11D-1753-08.4,0,1,0,8,3,0,0,0,2,0,40,34,0,0,0,-0.0,0,1.5382604374,0.958691859325,0,0
C662.TCGA-55-6543-01A-11D-1753-08.4,0,0,0,6,3,0,0,0,0,0,52,41,0,0,0,0,0,1.19559636716,1.06018008301,0,0
C662.TCGA-75-5126-01A-01D-1753-08.4,0,0,0,9,4,0,0,0,0,0,47,48,0,0,0,0,0,1.74509373941,1.23801679954,0,0
C828.TCGA-BF-A1Q0-01A-21D-A19A-08.2,0,0,0,5,4,0,1,0,0,0,38,66,0,2,0,0,0,1.14231445215,1.25959942276,0,-0.0
C828.TCGA-BF-A3DM-01A-11D-A20D-08.1,0,0,0,9,4,1,0,0,0,0,79,75,2,0,0,0,0,1.28181225324,1.22786090598,-0.0,0
C828.TCGA-BF-A9VF-01A-11D-A372-08.2,0,0,0,5,3,0,0,0,0,0,15,77,0,0,0,0,0,1.52463352843,0.999422013341,0,0
C828.TCGA-BF-AAP8-01A-11D-A401-08.1,0,0,0,3,4,0,0,0,0,0,17,42,0,0,0,0,0,0.708688028219,1.23715104043,0,0
C828.TCGA-D3-A5GT-01A-12D-A30X-08.1,0,0,0,4,3,0,0,0,0,0,25,60,0,0,0,0,0,1.08524532966,1.07603420911,0,0
C828.TCGA-D9-A3Z4-01A-11D-A23B-08.1,0,0,0,5,4,0,1,0,0,0,28,52,0,7,0,0,0,0.994353691762,1.15125844292,0,-0.0
C828.TCGA-EB-A24C-01A-11D-A197-08.2,0,0,0,4,4,0,0,0,0,0,27,55,0,0,0,0,0,0.773842263206,1.24035179262,0,0
